LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
801,108893,8,12,8,7.4,7.1,6.4,10.4,34878
801,108894,6,14,30,6.0,12.2,24.1,12.8,36217
801,108895,6,3,16,5.2,2.2,8.1,12.4,33227
801,108896,12,2,28,9.2,1.7,20.4,12.2,39038
801,108898,5,4,4,4.6,2.3,2.6,10.8,36198
801,108900,8,1,22,6.5,1.0,16.4,10.5,31522
801,108901,13,6,5,12.1,4.9,3.9,7.5,35163
801,108902,10,10,19,8.6,9.8,16.9,8.8,32624
801,134241,6,30,8,5.5,25.3,7.3,11.2,38043
801,108904,10,4,24,9.1,3.0,17.0,5.2,33605
801,108905,6,2,9,6.0,1.6,6.8,11.6,35157
801,108906,6,4,4,4.6,3.8,4.0,18.0,40114
801,108908,5,9,2,3.9,7.3,1.3,11.2,40153
801,133689,45,17,2,25.0,11.4,2.0,0.7,40025
801,133160,8,7,3,5.9,6.6,2.6,5.9,38240
801,134536,7,7,2,7.0,5.3,1.7,5.1,38667
801,108910,32,13,5,29.2,11.8,4.4,17.4,29285
801,131493,21,27,3,17.8,18.1,3.0,24.6,37954
801,108911,11,6,3,8.9,3.5,2.1,20.0,30520
801,108912,23,13,8,20.3,7.7,5.2,26.7,35158
801,108913,10,9,5,10.0,4.2,2.5,19.9,35513
801,108914,16,17,6,15.4,11.2,3.6,18.5,35512
801,131496,12,7,8,11.1,5.5,6.8,19.0,33957
801,138655,28,13,10,24.2,8.1,6.8,21.4,30817
801,137212,26,25,11,22.2,15.7,8.3,20.5,35376
801,108919,12,8,7,10.5,3.0,3.6,19.0,37166
801,131501,15,14,7,12.3,9.3,4.4,18.1,36734
801,108920,14,10,4,13.0,7.0,2.7,17.8,34746
801,108921,13,13,3,12.2,8.4,2.0,17.7,34874
801,138708,22,16,6,20.6,12.3,3.8,21.5,36384
801,131522,21,11,6,18.9,8.3,4.7,21.3,34130
801,132196,24,21,7,20.3,15.4,4.0,20.0,33558
801,136111,24,29,4,22.3,17.4,3.2,25.1,33398
801,137700,22,18,5,19.3,12.7,4.1,13.1,34858
801,137068,18,14,4,18.0,13.5,3.7,21.4,30873
801,108927,22,20,5,19.7,17.1,3.6,17.3,32786
801,138668,23,21,9,18.9,19.8,6.4,18.0,35298
801,108931,23,28,4,19.6,21.1,4.0,18.1,33488
801,138278,23,15,6,21.1,11.2,4.6,14.9,29597
801,137518,22,21,5,19.9,13.4,2.5,19.0,34878
801,108934,13,16,4,11.2,8.5,2.1,23.8,36412
801,140728,13,10,7,9.7,6.2,4.9,24.4,35410
801,108944,14,10,3,11.2,7.1,1.3,19.8,34014
801,138377,6,8,2,6.0,6.0,1.9,24.8,36603
801,138409,13,16,4,12.1,11.7,3.0,16.0,35160
801,138904,27,25,8,25.4,18.8,4.8,17.9,33079
801,138789,16,10,6,15.2,6.7,4.3,19.6,35839
801,138791,10,13,1,10.0,9.8,1.0,18.4,31987
801,138794,23,30,8,21.3,18.7,4.1,20.0,33375
801,108955,14,10,3,11.2,6.3,2.6,17.2,35828
801,108956,18,19,5,15.3,12.7,3.1,18.8,34780
801,108960,11,11,7,8.6,8.3,3.5,22.4,34597
801,108961,14,6,8,11.6,3.7,3.1,24.7,37761
801,139050,15,5,7,13.6,3.1,5.2,23.5,34020
801,139116,22,23,5,20.8,18.7,3.7,16.2,30819
801,108964,17,8,7,13.1,6.0,4.1,22.5,39726
801,138658,21,12,8,20.1,9.0,5.2,17.2,31876
801,108966,16,9,4,14.2,6.8,2.9,18.8,37414
801,139247,13,12,3,11.8,8.9,2.5,15.5,34287
801,108970,12,6,5,10.9,5.4,1.8,16.2,32415
801,139828,5,1,5,4.2,1.0,2.5,15.2,31618
801,140267,3,3,1,3.0,2.5,1.0,18.7,39170
801,138531,22,20,4,18.2,13.8,2.5,23.2,35086
801,140409,28,49,5,24.5,24.8,2.7,14.6,33385
801,108975,31,21,6,26.4,13.3,3.7,22.6,35541
801,108976,22,10,8,17.9,7.7,5.4,23.4,33655
801,141110,33,24,10,29.9,19.9,8.9,15.9,32838
801,141112,27,20,8,22.7,15.6,6.2,17.9,33175
801,141191,25,25,6,23.3,18.5,5.8,19.4,30325
801,108980,8,6,8,6.2,4.8,5.0,33.9,36225
801,136830,27,7,6,21.2,4.9,3.5,16.2,33999
801,108983,12,11,6,9.8,7.1,4.2,22.1,35538
801,108985,10,8,2,9.4,5.7,2.0,18.6,31818
801,108986,14,7,5,10.3,4.5,2.8,19.8,33021
801,108991,12,22,3,10.7,9.1,2.3,25.4,37532
801,108992,8,12,5,7.6,9.2,4.0,24.3,31384
801,109110,23,20,8,22.4,17.6,7.8,15.2,26572
801,109116,32,8,4,29.7,5.1,3.1,25.3,29919
801,109118,26,30,6,22.0,20.1,3.8,17.7,34067
801,109124,20,16,2,17.3,12.3,0.9,17.1,34233
801,138546,27,22,6,22.4,16.9,5.6,16.5,31874
801,109128,15,11,7,15.0,8.9,6.0,17.0,28870
801,109130,22,32,4,20.0,16.8,2.4,19.5,35201
801,109131,40,37,7,37.8,34.6,7.0,17.4,34175
801,109132,21,22,9,19.4,15.9,6.2,21.1,33776
801,109137,27,17,3,24.9,12.7,2.9,12.6,34024
801,109139,14,12,4,12.1,10.2,2.7,23.9,31261
801,109140,13,10,2,11.2,7.9,1.5,20.0,34430
801,138317,18,14,4,15.5,7.1,2.0,19.5,32967
801,109143,18,19,4,16.0,12.5,2.8,26.0,36630
801,109144,16,13,7,13.6,7.1,5.0,16.8,33383
801,109145,7,7,2,6.1,5.1,1.5,14.1,34460
801,109146,20,13,4,17.1,7.4,3.4,22.9,35224
801,109147,22,20,6,19.6,14.9,3.6,21.9,33974
801,109148,17,9,3,17.0,6.6,2.1,11.5,32703
801,139505,24,23,6,18.7,14.4,3.9,20.1,33580
801,137062,19,19,6,16.4,12.6,4.0,25.2,31600
801,109243,14,12,1,11.7,8.1,1.0,17.4,37042
801,109244,9,10,2,8.6,9.5,2.0,22.9,34534
801,109245,12,7,6,12.0,4.1,3.6,17.3,36900
801,109246,11,9,3,9.3,4.7,2.6,20.0,34378
801,109247,11,9,9,9.9,5.2,4.5,21.3,37080
801,139032,17,9,8,14.8,5.6,5.1,13.1,31404
801,138465,11,9,5,8.7,6.3,3.8,23.8,35359
801,109251,9,6,4,9.0,5.4,3.1,23.3,34829
801,109252,9,NA,5,8.4,NA,4.1,16.1,27150
801,139033,10,9,5,9.2,6.0,2.9,22.7,32900
801,109254,10,11,2,9.2,8.0,2.0,22.4,36008
801,109255,24,19,7,21.9,12.9,4.7,18.8,35022
801,138709,23,17,8,20.5,14.1,5.2,18.2,36324
801,138900,25,27,6,23.4,21.5,5.4,18.4,31332
801,134914,20,8,18,19.6,8.0,16.5,12.1,32700
801,138710,20,34,5,18.2,26.9,3.8,11.6,31916
801,137762,31,22,10,25.9,15.4,8.5,20.7,32183
801,132161,21,22,13,19.6,16.0,8.2,25.5,34520
801,135203,33,25,7,30.4,15.0,4.6,20.2,33895
801,135779,14,7,5,13.0,4.5,4.4,15.8,35762
801,135780,31,28,12,27.3,19.3,7.1,17.0,32891
801,135867,39,27,24,36.1,21.7,14.5,20.5,35082
801,135872,22,19,6,21.2,14.6,4.7,19.5,33309
801,136822,39,17,20,38.6,15.4,16.1,14.3,33292
801,138448,51,24,33,49.8,18.9,26.1,13.1,36668
801,139049,72,33,42,69.5,25.0,33.0,14.1,36826
801,141108,12,4,2,6.6,3.2,2.0,11.1,35163
801,109278,90,23,36,82.7,17.9,27.0,14.4,38943
801,138217,55,21,24,49.4,15.5,17.9,11.6,38568
801,109280,78,48,32,75.2,42.2,25.8,14.2,37277
801,138204,60,36,25,55.7,31.8,19.3,13.7,36984
801,137440,102,23,56,86.4,20.0,44.0,17.0,37836
801,109290,55,17,26,48.8,14.3,21.1,12.9,36122
801,137627,70,10,25,64.1,5.6,20.0,15.8,36041
801,109327,107,22,47,95.1,17.5,38.7,17.5,38834
801,138855,95,25,41,81.8,21.9,36.0,17.2,38847
801,109331,53,11,23,47.0,9.6,18.0,15.5,36833
801,134221,113,31,49,104.7,24.8,39.2,8.0,38616
801,135300,80,34,26,75.2,30.3,22.2,14.6,33096
801,135575,57,15,25,51.5,13.0,21.6,14.9,37547
801,135581,71,12,23,63.1,11.0,19.7,12.4,36587
801,135597,88,39,35,83.7,36.6,30.8,12.5,35132
801,135663,63,11,29,61.8,10.6,23.6,12.8,33392
801,135671,46,22,20,45.1,20.2,18.2,14.4,37032
801,135959,64,21,21,60.9,19.5,18.2,12.6,33912
801,109385,12,15,5,9.8,9.0,2.7,3.0,40695
801,132239,19,14,4,18.8,12.8,3.5,3.5,38252
801,109386,29,44,13,25.3,35.4,11.3,5.8,34448
801,109391,17,64,12,13.6,47.9,8.6,4.8,41869
801,109392,27,42,18,24.6,35.1,12.9,5.6,42018
801,109393,19,56,5,17.8,44.8,4.9,6.1,34097
801,109394,11,11,31,10.0,8.9,26.9,3.6,40265
801,109401,9,12,3,8.6,9.7,3.0,6.4,38033
801,109410,22,65,16,21.2,44.7,10.7,4.4,35473
801,PRI,1939,1614,609,1726.2,1139.5,427.5,19.3,33745
801,SEC,1521,499,660,1396.6,424.7,538.3,14.0,36819
NAT,PRI,240940,249286,79796,214166.7,164529.4,54220.4,20.3,36252
NAT,SEC,228821,67826,89225,213431.5,53861.4,75488.3,15.0,38246
